Arpae-SIMC

Parma urbana
Inizio validità (UTC),Fine validità (UTC),Precipitazione cumulata giornaliera (KG/M**2)
2017-06-27 00:00:00+00:00,2017-06-28 00:00:00+00:00,21.10
2017-06-28 00:00:00+00:00,2017-06-29 00:00:00+00:00,17.10
2017-06-29 00:00:00+00:00,2017-06-30 00:00:00+00:00,17.30
2017-06-30 00:00:00+00:00,2017-07-01 00:00:00+00:00,19.50
2017-07-01 00:00:00+00:00,2017-07-02 00:00:00+00:00,16.70
2017-07-02 00:00:00+00:00,2017-07-03 00:00:00+00:00,17.40
2017-07-03 00:00:00+00:00,2017-07-04 00:00:00+00:00,19.80
2017-07-04 00:00:00+00:00,2017-07-05 00:00:00+00:00,19.90
2017-07-05 00:00:00+00:00,2017-07-06 00:00:00+00:00,20.80
2017-07-06 00:00:00+00:00,2017-07-07 00:00:00+00:00,21.40
2017-07-07 00:00:00+00:00,2017-07-08 00:00:00+00:00,22.80
2017-07-08 00:00:00+00:00,2017-07-09 00:00:00+00:00,23.10
2017-07-09 00:00:00+00:00,2017-07-10 00:00:00+00:00,23.80
2017-07-10 00:00:00+00:00,2017-07-11 00:00:00+00:00,24.80
2017-07-11 00:00:00+00:00,2017-07-12 00:00:00+00:00,21.80
2017-07-12 00:00:00+00:00,2017-07-13 00:00:00+00:00,21.20
2017-07-13 00:00:00+00:00,2017-07-14 00:00:00+00:00,23.30
2017-07-14 00:00:00+00:00,2017-07-15 00:00:00+00:00,20.00
2017-07-15 00:00:00+00:00,2017-07-16 00:00:00+00:00,20.30
2017-07-16 00:00:00+00:00,2017-07-17 00:00:00+00:00,19.80
2017-07-17 00:00:00+00:00,2017-07-18 00:00:00+00:00,19.00
2017-07-18 00:00:00+00:00,2017-07-19 00:00:00+00:00,19.30
2017-07-19 00:00:00+00:00,2017-07-20 00:00:00+00:00,21.40
2017-07-20 00:00:00+00:00,2017-07-21 00:00:00+00:00,22.70
2017-07-21 00:00:00+00:00,2017-07-22 00:00:00+00:00,22.30
2017-07-22 00:00:00+00:00,2017-07-23 00:00:00+00:00,22.40
2017-07-23 00:00:00+00:00,2017-07-24 00:00:00+00:00,23.20
2017-07-24 00:00:00+00:00,2017-07-25 00:00:00+00:00,20.40
2017-07-25 00:00:00+00:00,2017-07-26 00:00:00+00:00,19.00
2017-07-26 00:00:00+00:00,2017-07-27 00:00:00+00:00,16.50
2017-07-27 00:00:00+00:00,2017-07-28 00:00:00+00:00,19.30
2017-07-28 00:00:00+00:00,2017-07-29 00:00:00+00:00,21.20
2017-07-29 00:00:00+00:00,2017-07-30 00:00:00+00:00,20.80
2017-07-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,20.70
2017-07-31 00:00:00+00:00,2017-08-01 00:00:00+00:00,21.90
2017-08-01 00:00:00+00:00,2017-08-02 00:00:00+00:00,23.10
2017-08-02 00:00:00+00:00,2017-08-03 00:00:00+00:00,25.40
2017-08-03 00:00:00+00:00,2017-08-04 00:00:00+00:00,25.30
2017-08-04 00:00:00+00:00,2017-08-05 00:00:00+00:00,26.80

Parma urbana
Inizio validità (UTC),Fine validità (UTC),Temperatura dell'aria massima giornaliera a 2 m dal suolo (°C)
2017-05-31 00:00:00+00:00,2017-06-01 00:00:00+00:00,31.80
2017-06-01 00:00:00+00:00,2017-06-02 00:00:00+00:00,31.30
2017-06-02 00:00:00+00:00,2017-06-03 00:00:00+00:00,31.90
2017-06-03 00:00:00+00:00,2017-06-04 00:00:00+00:00,31.50
2017-06-04 00:00:00+00:00,2017-06-05 00:00:00+00:00,30.60
2017-06-05 00:00:00+00:00,2017-06-06 00:00:00+00:00,28.50
2017-06-06 00:00:00+00:00,2017-06-07 00:00:00+00:00,27.60
2017-06-07 00:00:00+00:00,2017-06-08 00:00:00+00:00,28.50
2017-06-08 00:00:00+00:00,2017-06-09 00:00:00+00:00,26.70
2017-06-09 00:00:00+00:00,2017-06-10 00:00:00+00:00,28.20
2017-06-10 00:00:00+00:00,2017-06-11 00:00:00+00:00,30.80
2017-06-11 00:00:00+00:00,2017-06-12 00:00:00+00:00,32.00
2017-06-12 00:00:00+00:00,2017-06-13 00:00:00+00:00,33.30
2017-06-13 00:00:00+00:00,2017-06-14 00:00:00+00:00,33.90
2017-06-14 00:00:00+00:00,2017-06-15 00:00:00+00:00,32.30
2017-06-15 00:00:00+00:00,2017-06-16 00:00:00+00:00,30.50
2017-06-16 00:00:00+00:00,2017-06-17 00:00:00+00:00,33.50
2017-06-17 00:00:00+00:00,2017-06-18 00:00:00+00:00,32.50
2017-06-18 00:00:00+00:00,2017-06-19 00:00:00+00:00,29.20
2017-06-19 00:00:00+00:00,2017-06-20 00:00:00+00:00,31.60
2017-06-20 00:00:00+00:00,2017-06-21 00:00:00+00:00,34.20
2017-06-21 00:00:00+00:00,2017-06-22 00:00:00+00:00,35.00
2017-06-22 00:00:00+00:00,2017-06-23 00:00:00+00:00,37.20
2017-06-23 00:00:00+00:00,2017-06-24 00:00:00+00:00,35.30
2017-06-24 00:00:00+00:00,2017-06-25 00:00:00+00:00,35.90
2017-06-25 00:00:00+00:00,2017-06-26 00:00:00+00:00,31.70
2017-06-26 00:00:00+00:00,2017-06-27 00:00:00+00:00,31.30
2017-06-27 00:00:00+00:00,2017-06-28 00:00:00+00:00,29.40
2017-06-28 00:00:00+00:00,2017-06-29 00:00:00+00:00,30.30
2017-06-29 00:00:00+00:00,2017-06-30 00:00:00+00:00,27.90
2017-06-30 00:00:00+00:00,2017-07-01 00:00:00+00:00,25.90
2017-07-01 00:00:00+00:00,2017-07-02 00:00:00+00:00,27.40
2017-07-02 00:00:00+00:00,2017-07-03 00:00:00+00:00,29.80
2017-07-03 00:00:00+00:00,2017-07-04 00:00:00+00:00,32.10
2017-07-04 00:00:00+00:00,2017-07-05 00:00:00+00:00,32.00
2017-07-05 00:00:00+00:00,2017-07-06 00:00:00+00:00,34.50
2017-07-06 00:00:00+00:00,2017-07-07 00:00:00+00:00,35.50
2017-07-07 00:00:00+00:00,2017-07-08 00:00:00+00:00,36.20
2017-07-08 00:00:00+00:00,2017-07-09 00:00:00+00:00,36.50
2017-07-09 00:00:00+00:00,2017-07-10 00:00:00+00:00,34.40
2017-07-10 00:00:00+00:00,2017-07-11 00:00:00+00:00,32.70
2017-07-11 00:00:00+00:00,2017-07-12 00:00:00+00:00,32.10
2017-07-12 00:00:00+00:00,2017-07-13 00:00:00+00:00,32.40
2017-07-13 00:00:00+00:00,2017-07-14 00:00:00+00:00,33.70
2017-07-14 00:00:00+00:00,2017-07-15 00:00:00+00:00,28.50
2017-07-15 00:00:00+00:00,2017-07-16 00:00:00+00:00,30.50
2017-07-16 00:00:00+00:00,2017-07-17 00:00:00+00:00,29.40
2017-07-17 00:00:00+00:00,2017-07-18 00:00:00+00:00,30.50
2017-07-18 00:00:00+00:00,2017-07-19 00:00:00+00:00,32.70
2017-07-19 00:00:00+00:00,2017-07-20 00:00:00+00:00,35.00
2017-07-20 00:00:00+00:00,2017-07-21 00:00:00+00:00,32.90
2017-07-21 00:00:00+00:00,2017-07-22 00:00:00+00:00,33.90
2017-07-22 00:00:00+00:00,2017-07-23 00:00:00+00:00,32.80
2017-07-23 00:00:00+00:00,2017-07-24 00:00:00+00:00,34.20
2017-07-24 00:00:00+00:00,2017-07-25 00:00:00+00:00,31.40
2017-07-25 00:00:00+00:00,2017-07-26 00:00:00+00:00,31.10
2017-07-26 00:00:00+00:00,2017-07-27 00:00:00+00:00,30.60
2017-07-27 00:00:00+00:00,2017-07-28 00:00:00+00:00,31.20
2017-07-28 00:00:00+00:00,2017-07-29 00:00:00+00:00,33.10
2017-07-29 00:00:00+00:00,2017-07-30 00:00:00+00:00,32.70
2017-07-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,32.10
2017-07-31 00:00:00+00:00,2017-08-01 00:00:00+00:00,34.20
2017-08-01 00:00:00+00:00,2017-08-02 00:00:00+00:00,36.10
2017-08-02 00:00:00+00:00,2017-08-03 00:00:00+00:00,38.40
2017-08-03 00:00:00+00:00,2017-08-04 00:00:00+00:00,38.90
2017-08-04 00:00:00+00:00,2017-08-05 00:00:00+00:00,39.30



Nome della stazione,Rete di misura,Comune,Provincia,Regione,Nazione,Altezza (Metri sul livello del mare),Longitudine (Gradi Centesimali),Latitudine (Gradi Centesimali),Bacino
Parma urbana,urbane,PARMA,PARMA,EMILIA-ROMAGNA,ITALY,79.0,10.330492,44.808001,PIANURA FRA PARMA ED ENZA


Nome della variabile,Unita' di misura
Temperatura dell'aria minima giornaliera a 2 m dal suolo,°C
Temperatura dell'aria massima giornaliera a 2 m dal suolo,°C
Precipitazione cumulata giornaliera,KG/M**2
