COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000004,8,01/01/2010 00,01/01/2010 01,56,ug/m3
2000004,8,01/01/2010 01,01/01/2010 02,52,ug/m3
2000004,8,01/01/2010 03,01/01/2010 04,52,ug/m3
2000004,8,01/01/2010 04,01/01/2010 05,47,ug/m3
2000004,8,01/01/2010 05,01/01/2010 06,43,ug/m3
2000004,8,01/01/2010 06,01/01/2010 07,42,ug/m3
2000004,8,01/01/2010 07,01/01/2010 08,44,ug/m3
2000004,8,01/01/2010 08,01/01/2010 09,45,ug/m3
2000004,8,01/01/2010 09,01/01/2010 10,43,ug/m3
2000004,8,01/01/2010 10,01/01/2010 11,40,ug/m3
2000004,8,01/01/2010 11,01/01/2010 12,41,ug/m3
2000004,8,01/01/2010 12,01/01/2010 13,49,ug/m3
2000004,8,01/01/2010 13,01/01/2010 14,50,ug/m3
2000004,8,01/01/2010 14,01/01/2010 15,46,ug/m3
2000004,8,01/01/2010 15,01/01/2010 16,45,ug/m3
2000004,8,01/01/2010 16,01/01/2010 17,52,ug/m3
2000004,8,01/01/2010 17,01/01/2010 18,55,ug/m3
2000004,8,01/01/2010 18,01/01/2010 19,54,ug/m3
2000004,8,01/01/2010 19,01/01/2010 20,51,ug/m3
2000004,8,01/01/2010 20,01/01/2010 21,41,ug/m3
2000004,8,01/01/2010 21,01/01/2010 22,38,ug/m3
2000004,8,01/01/2010 22,01/01/2010 23,41,ug/m3
2000004,8,01/01/2010 23,02/01/2010 00,38,ug/m3
2000004,8,02/01/2010 00,02/01/2010 01,30,ug/m3
2000004,8,02/01/2010 01,02/01/2010 02,27,ug/m3
2000004,8,02/01/2010 03,02/01/2010 04,30,ug/m3
2000004,8,02/01/2010 04,02/01/2010 05,36,ug/m3
2000004,8,02/01/2010 05,02/01/2010 06,36,ug/m3
2000004,8,02/01/2010 06,02/01/2010 07,39,ug/m3
2000004,8,02/01/2010 07,02/01/2010 08,43,ug/m3
2000004,8,02/01/2010 08,02/01/2010 09,65,ug/m3
2000004,8,02/01/2010 09,02/01/2010 10,61,ug/m3
2000004,8,02/01/2010 10,02/01/2010 11,57,ug/m3
2000004,8,02/01/2010 11,02/01/2010 12,52,ug/m3
2000004,8,02/01/2010 12,02/01/2010 13,35,ug/m3
2000004,8,02/01/2010 13,02/01/2010 14,28,ug/m3
2000004,8,02/01/2010 14,02/01/2010 15,31,ug/m3
2000004,8,02/01/2010 15,02/01/2010 16,28,ug/m3
2000004,8,02/01/2010 16,02/01/2010 17,32,ug/m3
2000004,8,02/01/2010 17,02/01/2010 18,35,ug/m3
2000004,8,02/01/2010 18,02/01/2010 19,36,ug/m3
2000004,8,02/01/2010 19,02/01/2010 20,57,ug/m3
2000004,8,02/01/2010 20,02/01/2010 21,64,ug/m3
2000004,8,02/01/2010 21,02/01/2010 22,58,ug/m3
2000004,8,02/01/2010 22,02/01/2010 23,51,ug/m3
2000004,8,02/01/2010 23,03/01/2010 00,46,ug/m3
2000004,8,03/01/2010 00,03/01/2010 01,40,ug/m3
2000004,8,03/01/2010 01,03/01/2010 02,44,ug/m3
2000004,8,03/01/2010 03,03/01/2010 04,35,ug/m3
2000004,8,03/01/2010 04,03/01/2010 05,34,ug/m3
2000004,8,03/01/2010 05,03/01/2010 06,32,ug/m3
2000004,8,03/01/2010 06,03/01/2010 07,40,ug/m3
2000004,8,03/01/2010 07,03/01/2010 08,39,ug/m3
2000004,8,03/01/2010 08,03/01/2010 09,37,ug/m3
2000004,8,03/01/2010 09,03/01/2010 10,49,ug/m3
2000004,8,03/01/2010 10,03/01/2010 11,53,ug/m3
2000004,8,03/01/2010 11,03/01/2010 12,44,ug/m3
2000004,8,03/01/2010 12,03/01/2010 13,40,ug/m3
2000004,8,03/01/2010 13,03/01/2010 14,43,ug/m3
2000004,8,03/01/2010 14,03/01/2010 15,46,ug/m3
2000004,8,03/01/2010 15,03/01/2010 16,51,ug/m3
2000004,8,03/01/2010 16,03/01/2010 17,51,ug/m3
2000004,8,03/01/2010 17,03/01/2010 18,77,ug/m3
2000004,8,03/01/2010 18,03/01/2010 19,92,ug/m3
2000004,8,03/01/2010 19,03/01/2010 20,93,ug/m3
2000004,8,03/01/2010 20,03/01/2010 21,85,ug/m3
2000004,8,03/01/2010 21,03/01/2010 22,64,ug/m3
2000004,8,03/01/2010 22,03/01/2010 23,57,ug/m3
2000004,8,03/01/2010 23,04/01/2010 00,63,ug/m3
2000004,8,04/01/2010 00,04/01/2010 01,52,ug/m3
2000004,8,04/01/2010 01,04/01/2010 02,66,ug/m3
2000004,8,04/01/2010 03,04/01/2010 04,50,ug/m3
2000004,8,04/01/2010 04,04/01/2010 05,52,ug/m3
2000004,8,04/01/2010 05,04/01/2010 06,47,ug/m3
2000004,8,04/01/2010 06,04/01/2010 07,51,ug/m3
2000004,8,04/01/2010 07,04/01/2010 08,57,ug/m3
2000004,8,04/01/2010 08,04/01/2010 09,60,ug/m3
2000004,8,04/01/2010 09,04/01/2010 10,57,ug/m3
2000004,8,04/01/2010 10,04/01/2010 11,65,ug/m3
2000004,8,04/01/2010 11,04/01/2010 12,69,ug/m3
2000004,8,04/01/2010 12,04/01/2010 13,55,ug/m3
2000004,8,04/01/2010 13,04/01/2010 14,51,ug/m3
2000004,8,04/01/2010 14,04/01/2010 15,48,ug/m3
2000004,8,04/01/2010 15,04/01/2010 16,47,ug/m3
2000004,8,04/01/2010 16,04/01/2010 17,58,ug/m3
2000004,8,04/01/2010 17,04/01/2010 18,67,ug/m3
2000004,8,04/01/2010 18,04/01/2010 19,66,ug/m3
2000004,8,04/01/2010 19,04/01/2010 20,63,ug/m3
2000004,8,04/01/2010 20,04/01/2010 21,61,ug/m3
2000004,8,04/01/2010 21,04/01/2010 22,59,ug/m3
2000004,8,04/01/2010 22,04/01/2010 23,56,ug/m3
2000004,8,04/01/2010 23,05/01/2010 00,57,ug/m3
2000004,8,05/01/2010 00,05/01/2010 01,55,ug/m3
2000004,8,05/01/2010 01,05/01/2010 02,49,ug/m3
2000004,8,05/01/2010 03,05/01/2010 04,31,ug/m3
2000004,8,05/01/2010 04,05/01/2010 05,31,ug/m3
2000004,8,05/01/2010 05,05/01/2010 06,33,ug/m3
2000004,8,05/01/2010 06,05/01/2010 07,49,ug/m3
2000004,8,05/01/2010 07,05/01/2010 08,57,ug/m3
2000004,8,05/01/2010 08,05/01/2010 09,59,ug/m3
2000004,8,05/01/2010 09,05/01/2010 10,59,ug/m3
2000004,8,05/01/2010 10,05/01/2010 11,66,ug/m3
2000004,8,05/01/2010 11,05/01/2010 12,63,ug/m3
2000004,8,05/01/2010 12,05/01/2010 13,64,ug/m3
2000004,8,05/01/2010 13,05/01/2010 14,64,ug/m3
2000004,8,05/01/2010 14,05/01/2010 15,56,ug/m3
2000004,8,05/01/2010 15,05/01/2010 16,64,ug/m3
2000004,8,05/01/2010 16,05/01/2010 17,74,ug/m3
2000004,8,05/01/2010 17,05/01/2010 18,76,ug/m3
2000004,8,05/01/2010 18,05/01/2010 19,75,ug/m3
2000004,8,05/01/2010 19,05/01/2010 20,71,ug/m3
2000004,8,05/01/2010 20,05/01/2010 21,53,ug/m3
2000004,8,05/01/2010 21,05/01/2010 22,47,ug/m3
2000004,8,05/01/2010 22,05/01/2010 23,50,ug/m3
2000004,8,05/01/2010 23,06/01/2010 00,48,ug/m3
2000004,8,06/01/2010 00,06/01/2010 01,41,ug/m3
2000004,8,06/01/2010 01,06/01/2010 02,38,ug/m3
2000004,8,06/01/2010 03,06/01/2010 04,42,ug/m3
2000004,8,06/01/2010 04,06/01/2010 05,39,ug/m3
2000004,8,06/01/2010 05,06/01/2010 06,42,ug/m3
2000004,8,06/01/2010 06,06/01/2010 07,48,ug/m3
2000004,8,06/01/2010 07,06/01/2010 08,56,ug/m3
2000004,8,06/01/2010 08,06/01/2010 09,51,ug/m3
2000004,8,06/01/2010 09,06/01/2010 10,51,ug/m3
2000004,8,06/01/2010 10,06/01/2010 11,57,ug/m3
2000004,8,06/01/2010 11,06/01/2010 12,57,ug/m3
2000004,8,06/01/2010 12,06/01/2010 13,51,ug/m3
2000004,8,06/01/2010 13,06/01/2010 14,57,ug/m3
2000004,8,06/01/2010 14,06/01/2010 15,56,ug/m3
2000004,8,06/01/2010 15,06/01/2010 16,67,ug/m3
2000004,8,06/01/2010 16,06/01/2010 17,73,ug/m3
2000004,8,06/01/2010 17,06/01/2010 18,100,ug/m3
2000004,8,06/01/2010 18,06/01/2010 19,91,ug/m3
2000004,8,06/01/2010 19,06/01/2010 20,81,ug/m3
2000004,8,06/01/2010 20,06/01/2010 21,85,ug/m3
2000004,8,06/01/2010 21,06/01/2010 22,80,ug/m3
2000004,8,06/01/2010 22,06/01/2010 23,67,ug/m3
2000004,8,06/01/2010 23,07/01/2010 00,64,ug/m3
2000004,8,07/01/2010 00,07/01/2010 01,68,ug/m3
2000004,8,07/01/2010 01,07/01/2010 02,58,ug/m3
2000004,8,07/01/2010 03,07/01/2010 04,56,ug/m3
2000004,8,07/01/2010 04,07/01/2010 05,57,ug/m3
2000004,8,07/01/2010 05,07/01/2010 06,49,ug/m3
2000004,8,07/01/2010 06,07/01/2010 07,53,ug/m3
2000004,8,07/01/2010 07,07/01/2010 08,84,ug/m3
2000004,8,07/01/2010 08,07/01/2010 09,81,ug/m3
2000004,8,07/01/2010 09,07/01/2010 10,83,ug/m3
2000004,8,07/01/2010 10,07/01/2010 11,73,ug/m3
2000004,8,07/01/2010 11,07/01/2010 12,69,ug/m3
2000004,8,07/01/2010 12,07/01/2010 13,74,ug/m3
2000004,8,07/01/2010 13,07/01/2010 14,72,ug/m3
2000004,8,07/01/2010 14,07/01/2010 15,79,ug/m3
2000004,8,07/01/2010 15,07/01/2010 16,87,ug/m3
2000004,8,07/01/2010 16,07/01/2010 17,99,ug/m3
2000004,8,07/01/2010 17,07/01/2010 18,112,ug/m3
2000004,8,07/01/2010 18,07/01/2010 19,97,ug/m3
2000004,8,07/01/2010 19,07/01/2010 20,94,ug/m3
2000004,8,07/01/2010 20,07/01/2010 21,89,ug/m3
2000004,8,07/01/2010 21,07/01/2010 22,85,ug/m3
2000004,8,07/01/2010 22,07/01/2010 23,72,ug/m3
2000004,8,07/01/2010 23,08/01/2010 00,68,ug/m3
2000004,8,08/01/2010 00,08/01/2010 01,66,ug/m3
2000004,8,08/01/2010 01,08/01/2010 02,60,ug/m3
2000004,8,08/01/2010 03,08/01/2010 04,34,ug/m3
2000004,8,08/01/2010 04,08/01/2010 05,35,ug/m3
2000004,8,08/01/2010 05,08/01/2010 06,42,ug/m3
2000004,8,08/01/2010 06,08/01/2010 07,54,ug/m3
2000004,8,08/01/2010 07,08/01/2010 08,75,ug/m3
2000004,8,08/01/2010 08,08/01/2010 09,75,ug/m3
2000004,8,08/01/2010 09,08/01/2010 10,73,ug/m3
2000004,8,08/01/2010 10,08/01/2010 11,72,ug/m3
2000004,8,08/01/2010 11,08/01/2010 12,70,ug/m3
2000004,8,08/01/2010 12,08/01/2010 13,79,ug/m3
