COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,7,12/01/2015 16,12/01/2015 17,28,ug/m3
2000003,7,12/01/2015 17,12/01/2015 18,4,ug/m3
2000003,7,12/01/2015 18,12/01/2015 19,4,ug/m3
2000003,7,12/01/2015 19,12/01/2015 20,3,ug/m3
2000003,7,12/01/2015 20,12/01/2015 21,4,ug/m3
2000003,7,12/01/2015 21,12/01/2015 22,7,ug/m3
2000003,7,12/01/2015 22,12/01/2015 23,9,ug/m3
2000003,7,12/01/2015 23,13/01/2015 00,10,ug/m3
2000003,7,13/01/2015 00,13/01/2015 01,8,ug/m3
2000003,7,13/01/2015 01,13/01/2015 02,3,ug/m3
2000003,7,13/01/2015 03,13/01/2015 04,3,ug/m3
2000003,7,13/01/2015 04,13/01/2015 05,3,ug/m3
2000003,7,13/01/2015 05,13/01/2015 06,4,ug/m3
2000003,7,13/01/2015 06,13/01/2015 07,3,ug/m3
2000003,7,13/01/2015 07,13/01/2015 08,3,ug/m3
2000003,7,13/01/2015 08,13/01/2015 09,3,ug/m3
2000003,7,13/01/2015 09,13/01/2015 10,4,ug/m3
2000003,7,13/01/2015 10,13/01/2015 11,6,ug/m3
2000003,7,13/01/2015 11,13/01/2015 12,7,ug/m3
2000003,7,13/01/2015 12,13/01/2015 13,13,ug/m3
2000003,7,13/01/2015 13,13/01/2015 14,16,ug/m3
2000003,7,13/01/2015 14,13/01/2015 15,8,ug/m3
2000003,7,13/01/2015 15,13/01/2015 16,7,ug/m3
2000003,7,13/01/2015 16,13/01/2015 17,3,ug/m3
2000003,7,13/01/2015 17,13/01/2015 18,2,ug/m3
2000003,7,13/01/2015 18,13/01/2015 19,3,ug/m3
2000003,7,13/01/2015 19,13/01/2015 20,3,ug/m3
2000003,7,13/01/2015 20,13/01/2015 21,3,ug/m3
2000003,7,13/01/2015 21,13/01/2015 22,3,ug/m3
2000003,7,13/01/2015 22,13/01/2015 23,3,ug/m3
2000003,7,13/01/2015 23,14/01/2015 00,3,ug/m3
2000003,7,14/01/2015 00,14/01/2015 01,4,ug/m3
2000003,7,14/01/2015 01,14/01/2015 02,3,ug/m3
2000003,7,14/01/2015 03,14/01/2015 04,3,ug/m3
