refdate,pm10
2010-08-05,10.0000000
2010-08-06,16.0000000
2010-08-07,17.0000000
2010-08-08,14.0000000
2010-08-09,26.0000000
2010-08-10,27.0000000
2010-08-11,30.0000000
2010-08-12,25.0000000
2010-08-13,14.0000000
2010-08-14,27.0000000
2010-08-15,14.0000000
2010-08-16,14.0000000
2010-08-17,19.0000000
2010-08-18,18.0000000
2010-08-19,23.0000000
2010-08-20,29.0000000
2010-08-21,33.0000000
2010-08-22,25.0000000
2010-08-23,16.0000000
2010-08-24,20.0000000
2010-08-25,28.0000000
2010-08-26,31.0000000
2010-08-27,24.0000000
2010-08-28,20.0000000
2010-08-29,8.0000000
2010-08-30,17.0000000
2010-08-31,18.0000000
2010-09-01,17.0000000
2010-09-02,25.0000000
2010-09-03,24.0000000
2010-09-04,25.0000000
2010-09-05,25.0000000
2010-09-06,22.0000000
2010-09-07,28.0000000
2010-09-08,20.0000000
2010-09-09,22.0000000
2010-09-10,20.0000000
2010-09-11,21.0000000
2010-09-12,18.0000000
2010-09-13,28.0000000
2010-09-14,30.0000000
2010-09-15,17.0000000
2010-09-16,25.0000000
2010-09-17,25.0000000
2010-09-18,21.0000000
2010-09-19,10.0000000
2010-09-20,23.0000000
2010-09-21,39.0000000
2010-09-22,42.0000000
2010-09-23,31.0000000
2010-09-24,34.0000000
2010-09-25,7.0000000
2010-09-26,11.0000000
2010-09-27,15.0000000
2010-09-28,22.0000000
2010-09-29,34.0000000
2010-09-30,35.0000000
2010-10-01,48.0000000
2010-10-02,48.0000000
2010-10-03,44.0000000
2010-10-04,45.0000000
2010-10-05,18.0000000
2010-10-06,28.0000000
2010-10-07,32.0000000
2010-10-08,30.0000000
2010-10-09,32.0000000
2010-10-10,30.0000000
2010-10-11,40.0000000
2010-10-12,48.0000000
2010-10-13,53.0000000
2010-10-14,60.0000000
2010-10-15,56.0000000
2010-10-16,55.0000000
2010-10-17,11.0000000
2010-10-18,29.0000000
2010-10-19,36.0000000
2010-10-20,35.0000000
2010-10-21,57.0000000
2010-10-22,59.0000000
2010-10-23,67.0000000
2010-10-24,92.0000000
2010-10-25,25.0000000
2010-10-26,19.0000000
2010-10-27,37.0000000
2010-10-28,53.0000000
2010-10-29,56.0000000
2010-10-30,48.0000000
2010-10-31,27.0000000
2010-11-01,14.0000000
2010-11-02,18.0000000
2010-11-03,44.0000000
2010-11-04,52.0000000
2010-11-05,52.0000000
2010-11-06,44.0000000
2010-11-07,33.0000000
2010-11-08,14.0000000
2010-11-10,31.0000000
2010-11-11,57.0000000
2010-11-12,63.0000000
2010-11-13,70.0000000
2010-11-14,74.0000000
2010-11-15,32.0000000
2010-11-16,28.0000000
2010-11-17,37.0000000
2010-11-18,32.0000000
2010-11-19,39.0000000
2010-11-20,43.0000000
2010-11-21,18.0000000
2010-11-22,20.0000000
2010-11-23,43.0000000
2010-11-24,47.0000000
2010-11-25,46.0000000
2010-11-26,21.0000000
2010-11-27,31.0000000
