COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000004,38,01/01/2014 00,01/01/2014 01,13,ug/m3
2000004,38,01/01/2014 01,01/01/2014 02,18,ug/m3
2000004,38,01/01/2014 03,01/01/2014 04,15,ug/m3
2000004,38,01/01/2014 04,01/01/2014 05,13,ug/m3
2000004,38,01/01/2014 05,01/01/2014 06,8,ug/m3
2000004,38,01/01/2014 06,01/01/2014 07,13,ug/m3
2000004,38,01/01/2014 07,01/01/2014 08,15,ug/m3
2000004,38,01/01/2014 08,01/01/2014 09,16,ug/m3
2000004,38,01/01/2014 09,01/01/2014 10,15,ug/m3
2000004,38,01/01/2014 10,01/01/2014 11,23,ug/m3
2000004,38,01/01/2014 11,01/01/2014 12,24,ug/m3
2000004,38,01/01/2014 12,01/01/2014 13,20,ug/m3
2000004,38,01/01/2014 13,01/01/2014 14,10,ug/m3
2000004,38,01/01/2014 14,01/01/2014 15,9,ug/m3
2000004,38,01/01/2014 15,01/01/2014 16,14,ug/m3
2000004,38,01/01/2014 16,01/01/2014 17,27,ug/m3
2000004,38,01/01/2014 17,01/01/2014 18,42,ug/m3
2000004,38,01/01/2014 18,01/01/2014 19,47,ug/m3
2000004,38,01/01/2014 19,01/01/2014 20,23,ug/m3
2000004,38,01/01/2014 20,01/01/2014 21,15,ug/m3
2000004,38,01/01/2014 21,01/01/2014 22,15,ug/m3
2000004,38,01/01/2014 22,01/01/2014 23,18,ug/m3
2000004,38,01/01/2014 23,02/01/2014 00,27,ug/m3
2000004,38,02/01/2014 00,02/01/2014 01,25,ug/m3
2000004,38,02/01/2014 01,02/01/2014 02,9,ug/m3
2000004,38,02/01/2014 03,02/01/2014 04,11,ug/m3
2000004,38,02/01/2014 04,02/01/2014 05,14,ug/m3
2000004,38,02/01/2014 05,02/01/2014 06,14,ug/m3
2000004,38,02/01/2014 06,02/01/2014 07,22,ug/m3
2000004,38,02/01/2014 07,02/01/2014 08,45,ug/m3
2000004,38,02/01/2014 08,02/01/2014 09,53,ug/m3
2000004,38,02/01/2014 09,02/01/2014 10,40,ug/m3
2000004,38,02/01/2014 10,02/01/2014 11,42,ug/m3
2000004,38,02/01/2014 11,02/01/2014 12,58,ug/m3
2000004,38,02/01/2014 12,02/01/2014 13,48,ug/m3
2000004,38,02/01/2014 13,02/01/2014 14,37,ug/m3
2000004,38,02/01/2014 14,02/01/2014 15,37,ug/m3
2000004,38,02/01/2014 15,02/01/2014 16,55,ug/m3
2000004,38,02/01/2014 16,02/01/2014 17,54,ug/m3
2000004,38,02/01/2014 17,02/01/2014 18,55,ug/m3
2000004,38,02/01/2014 18,02/01/2014 19,44,ug/m3
2000004,38,02/01/2014 19,02/01/2014 20,49,ug/m3
2000004,38,02/01/2014 20,02/01/2014 21,38,ug/m3
2000004,38,02/01/2014 21,02/01/2014 22,27,ug/m3
2000004,38,02/01/2014 22,02/01/2014 23,22,ug/m3
2000004,38,02/01/2014 23,03/01/2014 00,16,ug/m3
2000004,38,03/01/2014 00,03/01/2014 01,10,ug/m3
2000004,38,03/01/2014 01,03/01/2014 02,7,ug/m3
2000004,38,03/01/2014 03,03/01/2014 04,4,ug/m3
2000004,38,03/01/2014 04,03/01/2014 05,5,ug/m3
2000004,38,03/01/2014 05,03/01/2014 06,7,ug/m3
2000004,38,03/01/2014 06,03/01/2014 07,23,ug/m3
2000004,38,03/01/2014 07,03/01/2014 08,54,ug/m3
2000004,38,03/01/2014 08,03/01/2014 09,77,ug/m3
2000004,38,03/01/2014 09,03/01/2014 10,69,ug/m3
2000004,38,03/01/2014 10,03/01/2014 11,60,ug/m3
2000004,38,03/01/2014 11,03/01/2014 12,48,ug/m3
2000004,38,03/01/2014 12,03/01/2014 13,45,ug/m3
2000004,38,03/01/2014 13,03/01/2014 14,33,ug/m3
2000004,38,03/01/2014 14,03/01/2014 15,40,ug/m3
2000004,38,03/01/2014 15,03/01/2014 16,40,ug/m3
2000004,38,03/01/2014 16,03/01/2014 17,35,ug/m3
2000004,38,03/01/2014 17,03/01/2014 18,58,ug/m3
2000004,38,03/01/2014 18,03/01/2014 19,48,ug/m3
2000004,38,03/01/2014 19,03/01/2014 20,56,ug/m3
2000004,38,03/01/2014 20,03/01/2014 21,59,ug/m3
2000004,38,03/01/2014 21,03/01/2014 22,42,ug/m3
2000004,38,03/01/2014 22,03/01/2014 23,26,ug/m3
2000004,38,03/01/2014 23,04/01/2014 00,15,ug/m3
2000004,38,04/01/2014 00,04/01/2014 01,11,ug/m3
2000004,38,04/01/2014 01,04/01/2014 02,13,ug/m3
2000004,38,04/01/2014 03,04/01/2014 04,4,ug/m3
2000004,38,04/01/2014 04,04/01/2014 05,4,ug/m3
2000004,38,04/01/2014 05,04/01/2014 06,5,ug/m3
2000004,38,04/01/2014 06,04/01/2014 07,8,ug/m3
2000004,38,04/01/2014 07,04/01/2014 08,12,ug/m3
2000004,38,04/01/2014 08,04/01/2014 09,19,ug/m3
2000004,38,04/01/2014 09,04/01/2014 10,28,ug/m3
2000004,38,04/01/2014 10,04/01/2014 11,36,ug/m3
2000004,38,04/01/2014 11,04/01/2014 12,38,ug/m3
2000004,38,04/01/2014 12,04/01/2014 13,35,ug/m3
2000004,38,04/01/2014 13,04/01/2014 14,29,ug/m3
2000004,38,04/01/2014 14,04/01/2014 15,30,ug/m3
2000004,38,04/01/2014 15,04/01/2014 16,28,ug/m3
2000004,38,04/01/2014 16,04/01/2014 17,37,ug/m3
2000004,38,04/01/2014 17,04/01/2014 18,38,ug/m3
2000004,38,04/01/2014 18,04/01/2014 19,45,ug/m3
2000004,38,04/01/2014 19,04/01/2014 20,56,ug/m3
2000004,38,04/01/2014 20,04/01/2014 21,38,ug/m3
2000004,38,04/01/2014 21,04/01/2014 22,26,ug/m3
2000004,38,04/01/2014 22,04/01/2014 23,30,ug/m3
2000004,38,04/01/2014 23,05/01/2014 00,23,ug/m3
2000004,38,05/01/2014 00,05/01/2014 01,19,ug/m3
2000004,38,05/01/2014 01,05/01/2014 02,14,ug/m3
2000004,38,05/01/2014 03,05/01/2014 04,9,ug/m3
2000004,38,05/01/2014 04,05/01/2014 05,9,ug/m3
2000004,38,05/01/2014 05,05/01/2014 06,9,ug/m3
2000004,38,05/01/2014 06,05/01/2014 07,15,ug/m3
2000004,38,05/01/2014 07,05/01/2014 08,19,ug/m3
2000004,38,05/01/2014 08,05/01/2014 09,26,ug/m3
2000004,38,05/01/2014 09,05/01/2014 10,27,ug/m3
2000004,38,05/01/2014 10,05/01/2014 11,27,ug/m3
2000004,38,05/01/2014 11,05/01/2014 12,35,ug/m3
2000004,38,05/01/2014 12,05/01/2014 13,51,ug/m3
2000004,38,05/01/2014 13,05/01/2014 14,44,ug/m3
2000004,38,05/01/2014 14,05/01/2014 15,28,ug/m3
2000004,38,05/01/2014 15,05/01/2014 16,28,ug/m3
2000004,38,05/01/2014 16,05/01/2014 17,23,ug/m3
2000004,38,05/01/2014 17,05/01/2014 18,29,ug/m3
