COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000004,9,01/01/2014 00,01/01/2014 01,48,ug/m3
2000004,9,01/01/2014 01,01/01/2014 02,58,ug/m3
2000004,9,01/01/2014 03,01/01/2014 04,53,ug/m3
2000004,9,01/01/2014 04,01/01/2014 05,51,ug/m3
2000004,9,01/01/2014 05,01/01/2014 06,38,ug/m3
2000004,9,01/01/2014 06,01/01/2014 07,49,ug/m3
2000004,9,01/01/2014 07,01/01/2014 08,56,ug/m3
2000004,9,01/01/2014 08,01/01/2014 09,55,ug/m3
2000004,9,01/01/2014 09,01/01/2014 10,52,ug/m3
2000004,9,01/01/2014 10,01/01/2014 11,68,ug/m3
2000004,9,01/01/2014 11,01/01/2014 12,69,ug/m3
2000004,9,01/01/2014 12,01/01/2014 13,61,ug/m3
2000004,9,01/01/2014 13,01/01/2014 14,42,ug/m3
2000004,9,01/01/2014 14,01/01/2014 15,45,ug/m3
2000004,9,01/01/2014 15,01/01/2014 16,58,ug/m3
2000004,9,01/01/2014 16,01/01/2014 17,92,ug/m3
2000004,9,01/01/2014 17,01/01/2014 18,118,ug/m3
2000004,9,01/01/2014 18,01/01/2014 19,124,ug/m3
2000004,9,01/01/2014 19,01/01/2014 20,79,ug/m3
2000004,9,01/01/2014 20,01/01/2014 21,64,ug/m3
2000004,9,01/01/2014 21,01/01/2014 22,64,ug/m3
2000004,9,01/01/2014 22,01/01/2014 23,70,ug/m3
2000004,9,01/01/2014 23,02/01/2014 00,86,ug/m3
2000004,9,02/01/2014 00,02/01/2014 01,77,ug/m3
2000004,9,02/01/2014 01,02/01/2014 02,48,ug/m3
2000004,9,02/01/2014 03,02/01/2014 04,54,ug/m3
2000004,9,02/01/2014 04,02/01/2014 05,62,ug/m3
2000004,9,02/01/2014 05,02/01/2014 06,62,ug/m3
2000004,9,02/01/2014 06,02/01/2014 07,72,ug/m3
2000004,9,02/01/2014 07,02/01/2014 08,111,ug/m3
2000004,9,02/01/2014 08,02/01/2014 09,123,ug/m3
2000004,9,02/01/2014 09,02/01/2014 10,101,ug/m3
2000004,9,02/01/2014 10,02/01/2014 11,106,ug/m3
2000004,9,02/01/2014 11,02/01/2014 12,135,ug/m3
2000004,9,02/01/2014 12,02/01/2014 13,122,ug/m3
2000004,9,02/01/2014 13,02/01/2014 14,103,ug/m3
2000004,9,02/01/2014 14,02/01/2014 15,106,ug/m3
2000004,9,02/01/2014 15,02/01/2014 16,138,ug/m3
2000004,9,02/01/2014 16,02/01/2014 17,135,ug/m3
2000004,9,02/01/2014 17,02/01/2014 18,138,ug/m3
2000004,9,02/01/2014 18,02/01/2014 19,118,ug/m3
2000004,9,02/01/2014 19,02/01/2014 20,126,ug/m3
2000004,9,02/01/2014 20,02/01/2014 21,109,ug/m3
2000004,9,02/01/2014 21,02/01/2014 22,89,ug/m3
2000004,9,02/01/2014 22,02/01/2014 23,78,ug/m3
2000004,9,02/01/2014 23,03/01/2014 00,68,ug/m3
2000004,9,03/01/2014 00,03/01/2014 01,52,ug/m3
2000004,9,03/01/2014 01,03/01/2014 02,40,ug/m3
2000004,9,03/01/2014 03,03/01/2014 04,31,ug/m3
2000004,9,03/01/2014 04,03/01/2014 05,32,ug/m3
2000004,9,03/01/2014 05,03/01/2014 06,35,ug/m3
2000004,9,03/01/2014 06,03/01/2014 07,66,ug/m3
2000004,9,03/01/2014 07,03/01/2014 08,120,ug/m3
2000004,9,03/01/2014 08,03/01/2014 09,162,ug/m3
2000004,9,03/01/2014 09,03/01/2014 10,147,ug/m3
2000004,9,03/01/2014 10,03/01/2014 11,133,ug/m3
2000004,9,03/01/2014 11,03/01/2014 12,115,ug/m3
2000004,9,03/01/2014 12,03/01/2014 13,112,ug/m3
2000004,9,03/01/2014 13,03/01/2014 14,94,ug/m3
2000004,9,03/01/2014 14,03/01/2014 15,106,ug/m3
2000004,9,03/01/2014 15,03/01/2014 16,105,ug/m3
2000004,9,03/01/2014 16,03/01/2014 17,97,ug/m3
2000004,9,03/01/2014 17,03/01/2014 18,140,ug/m3
2000004,9,03/01/2014 18,03/01/2014 19,122,ug/m3
2000004,9,03/01/2014 19,03/01/2014 20,138,ug/m3
2000004,9,03/01/2014 20,03/01/2014 21,142,ug/m3
2000004,9,03/01/2014 21,03/01/2014 22,110,ug/m3
2000004,9,03/01/2014 22,03/01/2014 23,78,ug/m3
2000004,9,03/01/2014 23,04/01/2014 00,55,ug/m3
2000004,9,04/01/2014 00,04/01/2014 01,48,ug/m3
2000004,9,04/01/2014 01,04/01/2014 02,51,ug/m3
2000004,9,04/01/2014 03,04/01/2014 04,27,ug/m3
2000004,9,04/01/2014 04,04/01/2014 05,27,ug/m3
2000004,9,04/01/2014 05,04/01/2014 06,33,ug/m3
2000004,9,04/01/2014 06,04/01/2014 07,42,ug/m3
2000004,9,04/01/2014 07,04/01/2014 08,55,ug/m3
2000004,9,04/01/2014 08,04/01/2014 09,65,ug/m3
2000004,9,04/01/2014 09,04/01/2014 10,80,ug/m3
2000004,9,04/01/2014 10,04/01/2014 11,96,ug/m3
2000004,9,04/01/2014 11,04/01/2014 12,97,ug/m3
2000004,9,04/01/2014 12,04/01/2014 13,90,ug/m3
2000004,9,04/01/2014 13,04/01/2014 14,81,ug/m3
2000004,9,04/01/2014 14,04/01/2014 15,85,ug/m3
2000004,9,04/01/2014 15,04/01/2014 16,79,ug/m3
2000004,9,04/01/2014 16,04/01/2014 17,95,ug/m3
2000004,9,04/01/2014 17,04/01/2014 18,98,ug/m3
