COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000004,9,01/01/2012 00,01/01/2012 01,70,ug/m3
2000004,9,01/01/2012 01,01/01/2012 02,69,ug/m3
2000004,9,01/01/2012 03,01/01/2012 04,96,ug/m3
2000004,9,01/01/2012 04,01/01/2012 05,106,ug/m3
2000004,9,01/01/2012 05,01/01/2012 06,105,ug/m3
2000004,9,01/01/2012 06,01/01/2012 07,108,ug/m3
2000004,9,01/01/2012 07,01/01/2012 08,108,ug/m3
2000004,9,01/01/2012 08,01/01/2012 09,136,ug/m3
2000004,9,01/01/2012 09,01/01/2012 10,114,ug/m3
2000004,9,01/01/2012 10,01/01/2012 11,63,ug/m3
2000004,9,01/01/2012 11,01/01/2012 12,81,ug/m3
2000004,9,01/01/2012 12,01/01/2012 13,93,ug/m3
2000004,9,01/01/2012 13,01/01/2012 14,65,ug/m3
2000004,9,01/01/2012 14,01/01/2012 15,63,ug/m3
2000004,9,01/01/2012 15,01/01/2012 16,82,ug/m3
2000004,9,01/01/2012 16,01/01/2012 17,111,ug/m3
2000004,9,01/01/2012 17,01/01/2012 18,193,ug/m3
2000004,9,01/01/2012 18,01/01/2012 19,339,ug/m3
2000004,9,01/01/2012 19,01/01/2012 20,441,ug/m3
2000004,9,01/01/2012 20,01/01/2012 21,304,ug/m3
2000004,9,01/01/2012 21,01/01/2012 22,253,ug/m3
2000004,9,01/01/2012 22,01/01/2012 23,288,ug/m3
2000004,9,01/01/2012 23,02/01/2012 00,188,ug/m3
2000004,9,02/01/2012 00,02/01/2012 01,171,ug/m3
2000004,9,02/01/2012 01,02/01/2012 02,110,ug/m3
2000004,9,02/01/2012 03,02/01/2012 04,55,ug/m3
2000004,9,02/01/2012 04,02/01/2012 05,37,ug/m3
2000004,9,02/01/2012 05,02/01/2012 06,52,ug/m3
2000004,9,02/01/2012 06,02/01/2012 07,106,ug/m3
2000004,9,02/01/2012 07,02/01/2012 08,168,ug/m3
2000004,9,02/01/2012 08,02/01/2012 09,237,ug/m3
2000004,9,02/01/2012 09,02/01/2012 10,271,ug/m3
2000004,9,02/01/2012 10,02/01/2012 11,259,ug/m3
2000004,9,02/01/2012 11,02/01/2012 12,222,ug/m3
2000004,9,02/01/2012 12,02/01/2012 13,143,ug/m3
2000004,9,02/01/2012 13,02/01/2012 14,120,ug/m3
2000004,9,02/01/2012 14,02/01/2012 15,134,ug/m3
2000004,9,02/01/2012 15,02/01/2012 16,133,ug/m3
2000004,9,02/01/2012 16,02/01/2012 17,158,ug/m3
2000004,9,02/01/2012 17,02/01/2012 18,183,ug/m3
2000004,9,02/01/2012 18,02/01/2012 19,171,ug/m3
2000004,9,02/01/2012 19,02/01/2012 20,185,ug/m3
2000004,9,02/01/2012 20,02/01/2012 21,145,ug/m3
2000004,9,02/01/2012 21,02/01/2012 22,103,ug/m3
2000004,9,02/01/2012 22,02/01/2012 23,89,ug/m3
2000004,9,02/01/2012 23,03/01/2012 00,75,ug/m3
2000004,9,03/01/2012 00,03/01/2012 01,85,ug/m3
2000004,9,03/01/2012 01,03/01/2012 02,78,ug/m3
2000004,9,03/01/2012 03,03/01/2012 04,70,ug/m3
