COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000004,38,01/01/2013 00,01/01/2013 01,13,ug/m3
2000004,38,01/01/2013 01,01/01/2013 02,17,ug/m3
2000004,38,01/01/2013 03,01/01/2013 04,19,ug/m3
2000004,38,01/01/2013 04,01/01/2013 05,14,ug/m3
2000004,38,01/01/2013 05,01/01/2013 06,11,ug/m3
2000004,38,01/01/2013 06,01/01/2013 07,20,ug/m3
2000004,38,01/01/2013 07,01/01/2013 08,15,ug/m3
2000004,38,01/01/2013 08,01/01/2013 09,14,ug/m3
2000004,38,01/01/2013 09,01/01/2013 10,32,ug/m3
2000004,38,01/01/2013 10,01/01/2013 11,30,ug/m3
2000004,38,01/01/2013 11,01/01/2013 12,26,ug/m3
2000004,38,01/01/2013 12,01/01/2013 13,18,ug/m3
2000004,38,01/01/2013 13,01/01/2013 14,19,ug/m3
2000004,38,01/01/2013 14,01/01/2013 15,26,ug/m3
2000004,38,01/01/2013 15,01/01/2013 16,32,ug/m3
2000004,38,01/01/2013 16,01/01/2013 17,43,ug/m3
2000004,38,01/01/2013 17,01/01/2013 18,67,ug/m3
2000004,38,01/01/2013 18,01/01/2013 19,69,ug/m3
2000004,38,01/01/2013 19,01/01/2013 20,23,ug/m3
2000004,38,01/01/2013 20,01/01/2013 21,30,ug/m3
2000004,38,01/01/2013 21,01/01/2013 22,35,ug/m3
2000004,38,01/01/2013 22,01/01/2013 23,37,ug/m3
2000004,38,01/01/2013 23,02/01/2013 00,25,ug/m3
2000004,38,02/01/2013 00,02/01/2013 01,23,ug/m3
2000004,38,02/01/2013 01,02/01/2013 02,7,ug/m3
2000004,38,02/01/2013 03,02/01/2013 04,3,ug/m3
2000004,38,02/01/2013 04,02/01/2013 05,3,ug/m3
2000004,38,02/01/2013 05,02/01/2013 06,6,ug/m3
2000004,38,02/01/2013 06,02/01/2013 07,16,ug/m3
2000004,38,02/01/2013 07,02/01/2013 08,46,ug/m3
2000004,38,02/01/2013 08,02/01/2013 09,65,ug/m3
2000004,38,02/01/2013 09,02/01/2013 10,68,ug/m3
2000004,38,02/01/2013 10,02/01/2013 11,62,ug/m3
2000004,38,02/01/2013 11,02/01/2013 12,89,ug/m3
2000004,38,02/01/2013 12,02/01/2013 13,91,ug/m3
2000004,38,02/01/2013 13,02/01/2013 14,64,ug/m3
2000004,38,02/01/2013 14,02/01/2013 15,49,ug/m3
2000004,38,02/01/2013 15,02/01/2013 16,40,ug/m3
2000004,38,02/01/2013 16,02/01/2013 17,58,ug/m3
2000004,38,02/01/2013 17,02/01/2013 18,82,ug/m3
2000004,38,02/01/2013 18,02/01/2013 19,80,ug/m3
2000004,38,02/01/2013 19,02/01/2013 20,78,ug/m3
2000004,38,02/01/2013 20,02/01/2013 21,57,ug/m3
2000004,38,02/01/2013 21,02/01/2013 22,38,ug/m3
2000004,38,02/01/2013 22,02/01/2013 23,22,ug/m3
2000004,38,02/01/2013 23,03/01/2013 00,10,ug/m3
2000004,38,03/01/2013 00,03/01/2013 01,8,ug/m3
2000004,38,03/01/2013 01,03/01/2013 02,4,ug/m3
2000004,38,03/01/2013 03,03/01/2013 04,4,ug/m3
2000004,38,03/01/2013 04,03/01/2013 05,4,ug/m3
2000004,38,03/01/2013 05,03/01/2013 06,10,ug/m3
2000004,38,03/01/2013 06,03/01/2013 07,31,ug/m3
2000004,38,03/01/2013 07,03/01/2013 08,65,ug/m3
2000004,38,03/01/2013 08,03/01/2013 09,105,ug/m3
2000004,38,03/01/2013 09,03/01/2013 10,80,ug/m3
2000004,38,03/01/2013 10,03/01/2013 11,58,ug/m3
2000004,38,03/01/2013 11,03/01/2013 12,47,ug/m3
2000004,38,03/01/2013 12,03/01/2013 13,47,ug/m3
2000004,38,03/01/2013 13,03/01/2013 14,38,ug/m3
2000004,38,03/01/2013 14,03/01/2013 15,40,ug/m3
2000004,38,03/01/2013 15,03/01/2013 16,65,ug/m3
