COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,8,01/01/2012 00,01/01/2012 01,37,ug/m3
2000003,8,01/01/2012 02,01/01/2012 03,39,ug/m3
2000003,8,01/01/2012 03,01/01/2012 04,37,ug/m3
2000003,8,01/01/2012 04,01/01/2012 05,41,ug/m3
2000003,8,01/01/2012 05,01/01/2012 06,37,ug/m3
2000003,8,01/01/2012 06,01/01/2012 07,38,ug/m3
2000003,8,01/01/2012 07,01/01/2012 08,42,ug/m3
2000003,8,01/01/2012 08,01/01/2012 09,36,ug/m3
2000003,8,01/01/2012 09,01/01/2012 10,30,ug/m3
2000003,8,01/01/2012 10,01/01/2012 11,16,ug/m3
2000003,8,01/01/2012 11,01/01/2012 12,22,ug/m3
2000003,8,01/01/2012 12,01/01/2012 13,24,ug/m3
2000003,8,01/01/2012 13,01/01/2012 14,23,ug/m3
2000003,8,01/01/2012 14,01/01/2012 15,24,ug/m3
2000003,8,01/01/2012 15,01/01/2012 16,29,ug/m3
2000003,8,01/01/2012 16,01/01/2012 17,38,ug/m3
2000003,8,01/01/2012 17,01/01/2012 18,49,ug/m3
2000003,8,01/01/2012 18,01/01/2012 19,53,ug/m3
2000003,8,01/01/2012 19,01/01/2012 20,59,ug/m3
2000003,8,01/01/2012 20,01/01/2012 21,62,ug/m3
2000003,8,01/01/2012 21,01/01/2012 22,58,ug/m3
2000003,8,01/01/2012 22,01/01/2012 23,58,ug/m3
2000003,8,01/01/2012 23,02/01/2012 00,42,ug/m3
2000003,8,02/01/2012 00,02/01/2012 01,37,ug/m3
2000003,8,02/01/2012 02,02/01/2012 03,31,ug/m3
2000003,8,02/01/2012 03,02/01/2012 04,27,ug/m3
2000003,8,02/01/2012 04,02/01/2012 05,16,ug/m3
2000003,8,02/01/2012 05,02/01/2012 06,26,ug/m3
2000003,8,02/01/2012 06,02/01/2012 07,36,ug/m3
2000003,8,02/01/2012 07,02/01/2012 08,38,ug/m3
2000003,8,02/01/2012 08,02/01/2012 09,38,ug/m3
2000003,8,02/01/2012 09,02/01/2012 10,43,ug/m3
2000003,8,02/01/2012 10,02/01/2012 11,44,ug/m3
2000003,8,02/01/2012 11,02/01/2012 12,42,ug/m3
2000003,8,02/01/2012 12,02/01/2012 13,36,ug/m3
2000003,8,02/01/2012 13,02/01/2012 14,38,ug/m3
2000003,8,02/01/2012 14,02/01/2012 15,42,ug/m3
2000003,8,02/01/2012 15,02/01/2012 16,43,ug/m3
2000003,8,02/01/2012 16,02/01/2012 17,44,ug/m3
2000003,8,02/01/2012 17,02/01/2012 18,43,ug/m3
2000003,8,02/01/2012 18,02/01/2012 19,44,ug/m3
2000003,8,02/01/2012 19,02/01/2012 20,45,ug/m3
2000003,8,02/01/2012 20,02/01/2012 21,37,ug/m3
2000003,8,02/01/2012 21,02/01/2012 22,39,ug/m3
2000003,8,02/01/2012 22,02/01/2012 23,38,ug/m3
2000003,8,02/01/2012 23,03/01/2012 00,38,ug/m3
2000003,8,03/01/2012 00,03/01/2012 01,38,ug/m3
2000003,8,03/01/2012 02,03/01/2012 03,35,ug/m3
2000003,8,03/01/2012 03,03/01/2012 04,32,ug/m3
2000003,8,03/01/2012 04,03/01/2012 05,32,ug/m3
2000003,8,03/01/2012 05,03/01/2012 06,31,ug/m3
2000003,8,03/01/2012 06,03/01/2012 07,29,ug/m3
2000003,8,03/01/2012 07,03/01/2012 08,40,ug/m3
2000003,8,03/01/2012 08,03/01/2012 09,38,ug/m3
2000003,8,03/01/2012 09,03/01/2012 10,36,ug/m3
2000003,8,03/01/2012 10,03/01/2012 11,41,ug/m3
2000003,8,03/01/2012 11,03/01/2012 12,45,ug/m3
2000003,8,03/01/2012 12,03/01/2012 13,38,ug/m3
2000003,8,03/01/2012 13,03/01/2012 14,29,ug/m3
2000003,8,03/01/2012 14,03/01/2012 15,35,ug/m3
2000003,8,03/01/2012 15,03/01/2012 16,36,ug/m3
2000003,8,03/01/2012 16,03/01/2012 17,39,ug/m3
2000003,8,03/01/2012 17,03/01/2012 18,38,ug/m3
2000003,8,03/01/2012 18,03/01/2012 19,36,ug/m3
2000003,8,03/01/2012 19,03/01/2012 20,42,ug/m3
2000003,8,03/01/2012 20,03/01/2012 21,41,ug/m3
2000003,8,03/01/2012 21,03/01/2012 22,37,ug/m3
2000003,8,03/01/2012 22,03/01/2012 23,37,ug/m3
2000003,8,03/01/2012 23,04/01/2012 00,35,ug/m3
2000003,8,04/01/2012 00,04/01/2012 01,30,ug/m3
2000003,8,04/01/2012 02,04/01/2012 03,27,ug/m3
2000003,8,04/01/2012 03,04/01/2012 04,26,ug/m3
2000003,8,04/01/2012 04,04/01/2012 05,25,ug/m3
